file,access_modify,final_modify,annotation_modify,param_modify,import_extensive,parent_class_modify,parent_interface_modify,class_body_modify,inner_extensive_class,class_var_extensive,class_var_modify,method_body_modify,method_extensive,method_var_extensive,method_var_modify,Move Class,Rename Class,Move And Rename Class,Move Method,Rename Method,Move And Rename Method,Extract Method,Extract And Move Method,Rename Parameter,Add Parameter,Remove Parameter
services/core/java/com/android/server/notification/ZenModeHelper.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
services/core/java/com/android/server/pm/PackageManagerService.java,,,,,,,,1,,1,,5,1,,2,,,,,,,,,,,
services/core/java/com/android/server/pm/Settings.java,,,,,,,,3,,,,3,,,,,,,,,,,,,,
services/core/java/com/android/server/pm/ShortcutService.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
services/core/java/com/android/server/pm/UserManagerService.java,,,,,,,,1,,,,4,,,2,,,,,,,,,,,
services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java,,,,,1,,,1,,,,1,,,,,,,,,,,,,,
services/core/java/com/android/server/statusbar/StatusBarManagerService.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
services/core/java/com/android/server/utils/DeviceConfigInterface.java,,,,,,,,2,,,1,2,,,,,,,,,,,,,,
services/core/java/com/android/server/wm/ActivityStackSupervisor.java,,,,,,,,1,,,,1,,1,,,,,,,,,,,,
services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
services/devicepolicy/java/com/android/server/devicepolicy/OverlayPackagesProvider.java,,,,,,,,1,,,,2,,,,,,,,,,,,,,
services/tests/servicestests/utils/com/android/server/testutils/FakeDeviceConfigInterface.java,,,,,,,,,,,,,1,,1,1,,,,,,,,,,
services/tests/uiservicestests/src/com/android/server/notification/BuzzBeepBlinkTest.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
services/usb/java/com/android/server/usb/UsbDeviceManager.java,,,,,1,,,2,,,,1,,,1,,,,,,,,,,,
