file,e2n_e,e2n_n,n2e_n,n2e_e
services/core/java/com/android/server/SystemService.java,,3,,
core/java/android/os/HandlerThread.java,,2,,
services/core/java/com/android/server/am/ActiveServices.java,2,,7,5
services/core/java/com/android/server/am/ActivityManagerConstants.java,3,2,4,4
services/core/java/com/android/server/am/ActivityManagerService.java,7,2,8,
core/java/android/os/Bundle.java,,2,,
core/java/android/content/pm/PackageManager.java,,2,,
services/core/java/com/android/server/wm/ActivityStackSupervisor.java,11,1,3,3
services/core/java/com/android/server/am/CachedAppOptimizer.java,11,,2,2
core/java/android/provider/DeviceConfig.java,,11,,
services/core/java/com/android/server/audio/AudioDeviceBroker.java,1,7,2,
services/core/java/com/android/server/audio/AudioDeviceInventory.java,10,1,,1
services/core/java/com/android/server/BluetoothManagerService.java,17,9,3,3
core/java/android/os/UserHandle.java,,5,,
services/core/java/com/android/server/ConnectivityService.java,18,6,8,11
core/java/android/net/LinkProperties.java,,1,,
core/java/android/net/TelephonyNetworkSpecifier.java,,2,,
core/java/android/net/NetworkCapabilities.java,,5,,
services/core/java/com/android/server/display/DisplayManagerService.java,2,1,,
core/java/android/view/DisplayAddress.java,,1,,
services/core/java/com/android/server/display/ExtendedRemoteDisplayHelper.java,15,,,4
media/java/android/media/RemoteDisplay.java,,1,,
services/core/java/com/android/server/display/WifiDisplayController.java,41,9,6,1
wifi/java/android/net/wifi/p2p/WifiP2pManager.java,4,4,,1
services/core/java/com/android/server/locksettings/LockSettingsService.java,4,,1,1
services/core/java/com/android/server/NetPluginDelegate.java,14,,,
core/java/android/net/NetworkSpecifier.java,,1,,
core/java/android/os/Environment.java,,2,,
core/java/android/content/pm/ResolveInfo.java,,2,,
core/java/android/os/Trace.java,,2,,
services/core/java/com/android/server/pm/parsing/PackageParser2.java,,1,,
services/core/java/com/android/server/pm/parsing/pkg/AndroidPackageUtils.java,,2,,
services/core/java/com/android/server/pm/parsing/pkg/PkgAppInfo.java,,23,,
services/core/java/com/android/server/pm/parsing/pkg/AndroidPackage.java,,35,,
services/core/java/com/android/server/pm/parsing/pkg/PkgPackageInfo.java,,6,,
services/core/java/com/android/server/pm/parsing/pkg/ParsedPackage.java,,7,,
core/java/android/content/pm/parsing/ParsingPackageUtils.java,,1,,
services/core/java/com/android/server/pm/Settings.java,,6,,
core/java/android/content/pm/SharedLibraryInfo.java,,1,,
services/core/java/com/android/server/pm/KeySetManagerService.java,,7,,
services/core/java/com/android/server/pm/PackageManagerServiceUtils.java,,1,,
services/core/java/com/android/server/pm/PackageSettingBase.java,,8,,
services/core/java/com/android/server/pm/UserManagerService.java,,2,,
services/core/java/com/android/server/pm/permission/PermissionManagerServiceInternal.java,,1,,
core/java/android/content/pm/parsing/component/ParsedComponent.java,,6,,
core/java/android/content/pm/parsing/component/ParsedPermission.java,,5,,
services/core/java/com/android/server/pm/permission/BasePermission.java,,3,,
core/java/android/content/pm/PackageParser.java,,4,,
services/core/java/com/android/server/pm/pkg/PackageStateUnserialized.java,,1,,
services/core/java/com/android/server/pm/PackageSetting.java,,1,,
services/core/java/com/android/server/pm/PackageAbiHelper.java,,3,,
services/core/java/android/content/pm/PackageManagerInternal.java,,1,,
services/core/java/com/android/server/policy/PhoneWindowManager.java,5,,,
core/java/android/os/UEventObserver.java,,3,,
services/core/java/com/android/server/wm/DisplayPolicy.java,11,2,2,
services/core/java/com/android/server/Watchdog.java,4,,3,3
services/core/java/com/android/server/WiredAccessoryManager.java,9,,4,4
services/core/java/com/android/server/wm/ActivityPluginDelegate.java,16,,,3
core/java/android/provider/Settings.java,,3,4,
core/java/android/content/ContextWrapper.java,,1,,
services/core/java/com/android/server/wm/ActivityRecord.java,7,,19,28
services/core/java/com/android/server/wm/ActivityTaskManagerService.java,,2,,
services/core/java/com/android/server/wm/WindowProcessController.java,,4,,
core/java/android/app/ActivityManager.java,,1,,
core/java/com/android/internal/util/function/pooled/PooledLambda.java,,1,,
core/java/android/os/AsyncTask.java,,1,,
core/java/android/app/ActivityTaskManager.java,,1,,
services/core/java/com/android/server/wm/DisplayRotation.java,6,,,
services/core/java/com/android/server/wm/WindowManagerService.java,,1,4,2
services/core/java/com/android/server/UiThread.java,,2,,
services/core/java/com/android/server/wm/ForceRefreshRatePackagelist.java,17,,,1
core/java/android/database/ContentObserver.java,,2,,
core/java/android/view/Display.java,,2,,
services/core/java/com/android/server/wm/SystemGesturesPointerEventListener.java,1,,3,3
core/java/android/view/GestureDetector.java,,1,,
services/core/java/com/android/server/wm/TaskDisplayArea.java,3,,3,3
telecomm/java/android/telecom/ConnectionService.java,4,2,2,2
telecomm/java/android/telecom/Connection.java,,1,,
telecomm/java/android/telecom/Conference.java,,1,,
telephony/java/android/telephony/TelephonyScanManager.java,2,,,
core/java/android/os/Message.java,,1,,
telephony/java/com/android/internal/telephony/SmsAuthorizationRequest.java,11,,,
telephony/java/com/android/internal/telephony/uicc/IccUtils.java,2,,,
telephony/common/com/android/internal/telephony/GsmAlphabet.java,,2,,
test-base/src/android/test/suitebuilder/annotation/SmallTest.java,1,1,,
tests/testables/src/android/testing/TestableLooper.java,1,1,,
core/java/com/android/internal/util/AsyncChannel.java,,1,,
wifi/java/android/net/wifi/WifiDppConfig.java,57,,,
core/java/android/accounts/AccountManager.java,,,24,
core/java/android/content/pm/ApplicationInfo.java,,,,3
core/java/android/app/Instrumentation.java,,,6,
core/java/android/bluetooth/le/AdvertiseData.java,,,1,1
core/java/android/bluetooth/le/ScanRecord.java,,,,2
core/java/android/content/res/CompatibilityInfo.java,,,2,
core/java/android/hardware/camera2/impl/CameraCaptureSessionImpl.java,,,1,
core/java/android/hardware/camera2/impl/CameraMetadataNative.java,,,5,5
core/java/android/hardware/SystemSensorManager.java,,,2,
core/java/android/provider/Browser.java,,,6,
core/java/android/provider/CalendarContract.java,,,8,
core/java/android/provider/ContactsContract.java,,,7,
core/java/android/speech/SpeechRecognizer.java,,,1,
core/java/android/view/ViewRootImpl.java,,,1,
core/java/android/view/WindowManagerImpl.java,,,2,
core/java/android/webkit/WebChromeClient.java,,,1,
core/java/android/widget/OverScroller.java,,,5,
location/java/android/location/LocationManager.java,,,19,
media/java/android/media/AudioRecord.java,,,2,
packages/SettingsLib/src/com/android/settingslib/wifi/AccessPointPreference.java,,,3,
packages/SettingsLib/src/com/android/settingslib/wifi/WifiStatusTracker.java,,,2,
packages/SystemUI/src/com/android/keyguard/KeyguardAbsKeyInputView.java,,,1,
packages/SystemUI/src/com/android/keyguard/KeyguardPatternView.java,,,1,
packages/SystemUI/src/com/android/keyguard/KeyguardSecurityModel.java,,,1,
packages/SystemUI/src/com/android/keyguard/KeyguardSimPinView.java,,,1,
packages/SystemUI/src/com/android/systemui/qs/tiles/HotspotTile.java,,,1,
packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelViewController.java,,,3,
packages/SystemUI/src/com/android/systemui/statusbar/policy/HotspotControllerImpl.java,,,2,2
packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java,,,5,
packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java,,,1,1
packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/DozeServiceHostTest.java,,,6,
packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/StatusBarTest.java,,,4,
packages/Tethering/tests/integration/src/android/net/EthernetTetheringTest.java,,,1,
services/core/java/com/android/server/accounts/AccountManagerService.java,,,7,
services/core/java/com/android/server/am/OomAdjuster.java,,,12,
services/core/java/com/android/server/am/ProcessList.java,,,1,
services/core/java/com/android/server/am/ProcessRecord.java,,,4,
services/core/java/com/android/server/BluetoothAirplaneModeListener.java,,,1,1
services/core/java/com/android/server/connectivity/NetworkAgentInfo.java,,,1,
services/core/java/com/android/server/connectivity/NetworkRanker.java,,,2,
services/core/java/com/android/server/NetworkTimeUpdateService.java,,,1,
services/core/java/com/android/server/pm/PackageInstallerService.java,,,1,
services/core/java/com/android/server/pm/PackageInstallerSession.java,,,3,
services/core/java/com/android/server/pm/PackageVerificationState.java,,,,1
services/core/java/com/android/server/wm/ActivityMetricsLogger.java,,,5,
services/core/java/com/android/server/wm/ActivityStack.java,,,16,1
services/core/java/com/android/server/wm/ActivityStarter.java,,,2,
services/core/java/com/android/server/wm/RecentTasks.java,,,1,
services/core/java/com/android/server/wm/RefreshRatePolicy.java,,,1,
services/core/java/com/android/server/wm/ScreenRotationAnimation.java,,,2,
services/core/java/com/android/server/wm/TaskTapPointerEventListener.java,,,4,
services/java/com/android/server/SystemServer.java,,,1,
telecomm/java/android/telecom/CallerInfo.java,,,2,
telephony/java/android/telephony/SmsManager.java,,,5,
wifi/java/android/net/wifi/p2p/WifiP2pDevice.java,,,1,
wifi/java/android/net/wifi/p2p/WifiP2pWfdInfo.java,,,,1
wifi/java/android/net/wifi/WifiScanner.java,,,1,1
