file,e2n_e,e2n_n,n2e_n,n2e_e
packages/SystemUI/src/com/android/systemui/statusbar/phone/fragment/CollapsedStatusBarFragment.java,3,1,6,
core/java/android/app/Fragment.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/HeadsUpAppearanceController.java,7,,1,
packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,3,1,,
packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayoutController.java,,3,,
core/java/android/view/MotionEvent.java,,4,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationShadeWindowControllerImpl.java,9,1,2,2
packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarView.java,4,,4,3
packages/SystemUI/shared/src/com/android/systemui/shared/rotation/RotationButtonController.java,,2,1,
packages/SystemUI/shared/src/com/android/systemui/shared/rotation/RotationButton.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,24,2,7,2
core/java/android/hardware/display/DisplayManager.java,,2,,
core/java/android/os/AsyncTask.java,,4,,
packages/SystemUI/src/com/android/systemui/util/concurrency/MessageRouter.java,,5,,
core/java/android/view/ViewConfiguration.java,,2,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/BluetoothControllerImpl.java,1,,1,1
packages/SystemUI/src/com/android/systemui/statusbar/policy/BrightnessMirrorController.java,5,,2,2
packages/SystemUI/shared/src/com/android/systemui/shared/system/ActivityManagerWrapper.java,,6,,
core/java/android/app/WindowConfiguration.java,,1,,
packages/SystemUI/shared/src/com/android/systemui/shared/system/TaskStackChangeListener.java,,4,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/SecurityControllerImpl.java,12,,,
core/java/android/app/AppOpsManager.java,,6,,
packages/SystemUI/src/com/android/systemui/statusbar/VisualizerView.java,70,,,4
core/java/com/android/internal/graphics/palette/Palette.java,,5,,
core/java/android/animation/ValueAnimator.java,,8,,
media/java/android/media/audiofx/Visualizer.java,,7,,
graphics/java/android/graphics/Color.java,,4,,
core/java/android/animation/ObjectAnimator.java,,3,,
core/java/android/view/ViewPropertyAnimator.java,,11,,
packages/SystemUI/src/com/android/systemui/tuner/StatusBarTuner.java,3,,,
core/java/android/view/MenuItem.java,,1,,
packages/SystemUI/src/com/android/systemui/volume/VolumeDialogControllerImpl.java,1,,1,1
packages/SystemUI/src/com/android/systemui/volume/VolumeDialogImpl.java,77,12,32,31
core/java/android/widget/LinearLayout.java,,2,,
packages/SystemUI/plugin/src/com/android/systemui/plugins/VolumeDialogController.java,,2,,
media/java/android/media/session/MediaSessionManager.java,,2,,
media/java/android/media/session/MediaController.java,,11,,
media/java/android/media/session/PlaybackState.java,,2,,
packages/SystemUI/src/com/android/systemui/volume/Util.java,,1,,
core/java/android/view/ViewGroup.java,,8,,
core/java/android/animation/Animator.java,,1,,
services/core/java/com/android/server/audio/AudioDeviceBroker.java,2,7,1,
services/core/java/com/android/server/audio/AudioDeviceInventory.java,9,1,,1
services/core/java/com/android/server/audio/BtHelper.java,5,1,,
services/core/java/com/android/server/BatteryService.java,2,1,8,6
services/core/java/com/android/server/display/AutomaticBrightnessController.java,2,,1,1
core/java/android/hardware/SensorManager.java,,4,,
services/core/java/com/android/server/display/ExtendedRemoteDisplayHelper.java,13,,,4
